dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,100,0,0.9952656496580747,0.5,0.49526564965807474,1,0.41459327936172485,0.4921281933784485,0.3419398069381714,0.1428249478340149,361784306
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,100,1,0.9952656496580747,0.625,0.37026564965807474,1,0.4104456901550293,0.47631025314331055,0.27798229455947876,0.10819238424301147,710743958
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,100,2,0.9952656496580747,0.5,0.49526564965807474,1,0.47470882534980774,0.5237030982971191,0.30509424209594727,0.11512070894241333,634668565
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,100,3,0.9952656496580747,0.75,0.24526564965807474,1,0.4232826828956604,0.5081559419631958,0.3713124990463257,0.13551199436187744,1608210580
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,100,4,0.9952656496580747,0.75,0.24526564965807474,1,0.44278833270072937,0.5064777135848999,0.3566553592681885,0.14408981800079346,1614072976
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,250,0,0.9952656496580747,0.25,0.7452656496580747,1,0.35086166858673096,0.3957914710044861,0.247871994972229,0.10963815450668335,802936348
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,250,1,0.9952656496580747,0.75,0.24526564965807474,1,0.38800108432769775,0.42969614267349243,0.265682578086853,0.10746818780899048,1976592822
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,250,2,0.9952656496580747,0.375,0.6202656496580747,1,0.38434523344039917,0.4289206564426422,0.26060521602630615,0.11454969644546509,731883135
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,250,3,0.9952656496580747,0.875,0.12026564965807474,0,0.3407071828842163,0.39193621277809143,0.24156707525253296,0.10256141424179077,702756300
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,250,4,0.9952656496580747,0.625,0.37026564965807474,1,0.3918272852897644,0.46715736389160156,0.33885669708251953,0.13516640663146973,2096742185
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,500,0,0.9952656496580747,0.375,0.6202656496580747,1,0.45209938287734985,0.4812571406364441,0.3073486089706421,0.11748480796813965,1104763552
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,500,1,0.9952656496580747,0.625,0.37026564965807474,1,0.32688817381858826,0.37539416551589966,0.22050851583480835,0.09894353151321411,1683240063
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,500,2,0.9952656496580747,0.625,0.37026564965807474,1,0.31440091133117676,0.3453066349029541,0.2501606345176697,0.11409932374954224,1291310940
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,500,3,0.9952656496580747,0.5,0.49526564965807474,1,0.39275485277175903,0.43872618675231934,0.32224202156066895,0.1269267201423645,184328826
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,500,4,0.9952656496580747,0.875,0.12026564965807474,0,0.311104416847229,0.3610205352306366,0.3019528388977051,0.12491655349731445,2053818007
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,1000,0,0.9952656496580747,0.75,0.24526564965807474,1,0.32244330644607544,0.37412506341934204,0.28530800342559814,0.10955977439880371,1609426494
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,1000,1,0.9952656496580747,0.75,0.24526564965807474,1,0.3480956554412842,0.3768070340156555,0.27991849184036255,0.10673952102661133,645680252
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,1000,2,0.9952656496580747,0.875,0.12026564965807474,0,0.32782500982284546,0.35968461632728577,0.2677421569824219,0.10701507329940796,1383571017
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,1000,3,0.9952656496580747,0.625,0.37026564965807474,1,0.31905826926231384,0.34502124786376953,0.2748771905899048,0.10782486200332642,371572198
BFS46,efficientnet_b3,blur_2,gaussian_blur,8,1000,4,0.9952656496580747,0.625,0.37026564965807474,1,0.32229089736938477,0.38321366906166077,0.26240718364715576,0.10527831315994263,540372452
BFS46,efficientnet_b3,blur_2,gaussian_blur,16,100,0,0.9952656496580747,0.5625,0.43276564965807474,1,0.39339590072631836,0.4483070373535156,0.27150338888168335,0.10632014274597168,336918659
BFS46,efficientnet_b3,blur_2,gaussian_blur,16,100,1,0.9952656496580747,0.5625,0.43276564965807474,1,0.37616097927093506,0.42571887373924255,0.20381075143814087,0.08336162567138672,2069556284
BFS46,efficientnet_b3,blur_2,gaussian_blur,16,100,2,0.9952656496580747,0.375,0.6202656496580747,1,0.38121211528778076,0.4301219880580902,0.2651975154876709,0.1044430136680603,96139992
BFS46,efficientnet_b3,blur_2,gaussian_blur,16,100,3,0.9952656496580747,0.4375,0.5577656496580747,1,0.42835578322410583,0.48397794365882874,0.2534422278404236,0.09114634990692139,1363817982
BFS46,efficientnet_b3,blur_2,gaussian_blur,16,100,4,0.9952656496580747,0.5625,0.43276564965807474,1,0.3634418249130249,0.433116614818573,0.2455146312713623,0.09150969982147217,521248389
BFS46,efficientnet_b3,blur_2,gaussian_blur,16,250,0,0.9952656496580747,0.625,0.37026564965807474,1,0.3793594241142273,0.41655850410461426,0.2692708969116211,0.1011534333229065,1266955045
